week,dmanum,lr_spd,lr_grp,lr_imp,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
4/8/2013,518,1071,19.2,67248.768,1071,19.2,67248.768,1071,19.2,67248.768,1071,19.2,67248.768,1071,19.2,67248.768,1071,19.2,67248.768,1071,19.2,67248.768,1071,19.2,67248.768,1071,19.2,67248.768,1071,19.2,67248.768,1071,19.2,67248.768,1071,19.2,67248.768,1071,19.2,67248.768,1071,19.2,67248.768,1071,19.2,67248.768,1071,19.2,67248.768,1071,19.2,67248.768,1071,19.2
4/8/2013,524,9880,20.5,284071.575,9880,20.5,284071.575,9880,20.5,284071.575,9880,20.5,284071.575,9880,20.5,284071.575,9880,20.5,284071.575,9880,20.5,284071.575,9880,20.5,284071.575,9880,20.5,284071.575,9880,20.5,284071.575,9880,20.5,284071.575,9880,20.5,284071.575,9880,20.5,284071.575,9880,20.5,284071.575,9880,20.5,284071.575,9880,20.5,284071.575,9880,20.5,284071.575,9880,20.5
4/8/2013,528,9353,20.4,197346.948,9353,20.4,197346.948,9353,20.4,197346.948,9353,20.4,197346.948,9353,20.4,197346.948,9353,20.4,197346.948,9353,20.4,197346.948,9353,20.4,197346.948,9353,20.4,197346.948,9353,20.4,197346.948,9353,20.4,197346.948,9353,20.4,197346.948,9353,20.4,197346.948,9353,20.4,197346.948,9353,20.4,197346.948,9353,20.4,197346.948,9353,20.4,197346.948,9353,20.4
4/8/2013,534,5810,23,167649.53,5810,23,167649.53,5810,23,167649.53,5810,23,167649.53,5810,23,167649.53,5810,23,167649.53,5810,23,167649.53,5810,23,167649.53,5810,23,167649.53,5810,23,167649.53,5810,23,167649.53,5810,23,167649.53,5810,23,167649.53,5810,23,167649.53,5810,23,167649.53,5810,23,167649.53,5810,23,167649.53,5810,23
4/8/2013,539,5742,16.3,133948.51,5742,16.3,133948.51,5742,16.3,133948.51,5742,16.3,133948.51,5742,16.3,133948.51,5742,16.3,133948.51,5742,16.3,133948.51,5742,16.3,133948.51,5742,16.3,133948.51,5742,16.3,133948.51,5742,16.3,133948.51,5742,16.3,133948.51,5742,16.3,133948.51,5742,16.3,133948.51,5742,16.3,133948.51,5742,16.3,133948.51,5742,16.3,133948.51,5742,16.3
4/8/2013,618,14984,25.2,343145.88,14984,25.2,343145.88,14984,25.2,343145.88,14984,25.2,343145.88,14984,25.2,343145.88,14984,25.2,343145.88,14984,25.2,343145.88,14984,25.2,343145.88,14984,25.2,343145.88,14984,25.2,343145.88,14984,25.2,343145.88,14984,25.2,343145.88,14984,25.2,343145.88,14984,25.2,343145.88,14984,25.2,343145.88,14984,25.2,343145.88,14984,25.2,343145.88,14984,25.2
4/8/2013,623,11038,25.4,392980.164,11038,25.4,392980.164,11038,25.4,392980.164,11038,25.4,392980.164,11038,25.4,392980.164,11038,25.4,392980.164,11038,25.4,392980.164,11038,25.4,392980.164,11038,25.4,392980.164,11038,25.4,392980.164,11038,25.4,392980.164,11038,25.4,392980.164,11038,25.4,392980.164,11038,25.4,392980.164,11038,25.4,392980.164,11038,25.4,392980.164,11038,25.4,392980.164,11038,25.4
4/8/2013,635,2380,17.7,73030.554,2380,17.7,73030.554,2380,17.7,73030.554,2380,17.7,73030.554,2380,17.7,73030.554,2380,17.7,73030.554,2380,17.7,73030.554,2380,17.7,73030.554,2380,17.7,73030.554,2380,17.7,73030.554,2380,17.7,73030.554,2380,17.7,73030.554,2380,17.7,73030.554,2380,17.7,73030.554,2380,17.7,73030.554,2380,17.7,73030.554,2380,17.7,73030.554,2380,17.7
4/8/2013,659,1688,12.7,70295.389,1688,12.7,70295.389,1688,12.7,70295.389,1688,12.7,70295.389,1688,12.7,70295.389,1688,12.7,70295.389,1688,12.7,70295.389,1688,12.7,70295.389,1688,12.7,70295.389,1688,12.7,70295.389,1688,12.7,70295.389,1688,12.7,70295.389,1688,12.7,70295.389,1688,12.7,70295.389,1688,12.7,70295.389,1688,12.7,70295.389,1688,12.7,70295.389,1688,12.7
4/8/2013,751,0,3.2,26190.464,0,3.2,26190.464,0,3.2,26190.464,0,3.2,26190.464,0,3.2,26190.464,0,3.2,26190.464,0,3.2,26190.464,0,3.2,26190.464,0,3.2,26190.464,0,3.2,26190.464,0,3.2,26190.464,0,3.2,26190.464,0,3.2,26190.464,0,3.2,26190.464,0,3.2,26190.464,0,3.2,26190.464,0,3.2,26190.464,0,3.2
4/8/2013,803,36085,25.2,923760.18,36085,25.2,923760.18,36085,25.2,923760.18,36085,25.2,923760.18,36085,25.2,923760.18,36085,25.2,923760.18,36085,25.2,923760.18,36085,25.2,923760.18,36085,25.2,923760.18,36085,25.2,923760.18,36085,25.2,923760.18,36085,25.2,923760.18,36085,25.2,923760.18,36085,25.2,923760.18,36085,25.2,923760.18,36085,25.2,923760.18,36085,25.2,923760.18,36085,25.2
4/8/2013,807,16324,20.5,298074.1,16324,20.5,298074.1,16324,20.5,298074.1,16324,20.5,298074.1,16324,20.5,298074.1,16324,20.5,298074.1,16324,20.5,298074.1,16324,20.5,298074.1,16324,20.5,298074.1,16324,20.5,298074.1,16324,20.5,298074.1,16324,20.5,298074.1,16324,20.5,298074.1,16324,20.5,298074.1,16324,20.5,298074.1,16324,20.5,298074.1,16324,20.5,298074.1,16324,20.5
4/8/2013,825,4324,18.2,116297.636,4324,18.2,116297.636,4324,18.2,116297.636,4324,18.2,116297.636,4324,18.2,116297.636,4324,18.2,116297.636,4324,18.2,116297.636,4324,18.2,116297.636,4324,18.2,116297.636,4324,18.2,116297.636,4324,18.2,116297.636,4324,18.2,116297.636,4324,18.2,116297.636,4324,18.2,116297.636,4324,18.2,116297.636,4324,18.2,116297.636,4324,18.2,116297.636,4324,18.2
4/8/2013,862,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8,171727.32,6476,21.8
4/15/2013,510,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5,646251.25,24233,92.5
