dmanum,week,ex_loy_kc_reg,ex_loy_nkc_reg,ex_nloy_kc_reg,ex_nloy_nkc_reg,new_loy_kc_reg,new_loy_nkc_reg,new_nloy_kc_reg,new_nloy_nkc_reg,ex_loy_kc_final,ex_loy_nkc_final,ex_nloy_kc_final
500,10/26/2015,891888.0089,107883.5867,247118.296,68177.26234,1540.87,2226.019997,26900.405,29431.7575,441777.43,56879.42,133640.23
500,11/2/2015,782184.0149,98485.54526,268687.9215,71824.47931,966.310001,2272.839998,29308.04795,29970.32331,396899.32,53309.38,146004.04
500,11/9/2015,2195924.169,134109.7562,725573.2367,97203.84179,2330.810008,1848.239997,48968.29,37286.81286,912727.65,65659.69,315346.54
500,11/16/2015,1858125.248,131007.353,552289.3146,91669.00233,2979.950001,4576.73001,37764.90001,39891.89334,788521.3,62004.19,242900
500,11/23/2015,3913225.391,512911.9295,1171893.554,397526.1695,6725.82999,13814.02333,134367.7764,194666.1994,1511840,200509.04,465996.18
500,11/30/2015,3160248.567,399582.7761,945529.6684,312146.7909,3054.985001,10240.46751,66350.15403,146770.7531,1145057.46,137580.45,368208.6
500,12/7/2015,2552939.251,187556.1322,923442.8229,167586.3468,4247.890005,1922.990004,71115.80752,77605.36168,1056883.72,82543.28,396774.43
500,12/14/2015,3093683.927,249145.213,1184270.187,200533.004,4900.141107,4537.959995,109106.3262,89454.20003,1277561.34,112419.42,504015.67
500,12/21/2015,1983321.511,173906.3858,772329.6289,151455.6625,2916.71001,3117.609996,95423.98996,45445.39668,828213.63,79952.17,325893.11
500,12/28/2015,559372.6873,69382.00943,148280.0774,43993.18084,395.154,1151.36,14821.02,17050.15931,223076.48,30516.17,65341.59
501,10/26/2015,19218683.81,1680980.007,5600266.362,1043945.288,25115.88502,68695.31329,412571.5882,642686.7607,9264951.85,883290.69,2977367.85
501,11/2/2015,16052385.26,1496861.14,6038742.085,1012211.673,30438.06002,55209.94206,476272.4508,640453.6656,8097196.29,776749.7,3340699.14
501,11/9/2015,47989897.55,1902661.991,16728241.96,1207109.21,52821.716,95525.93581,713479.8455,817581.8117,19914373.68,912083.15,7251419.06
501,11/16/2015,43091226.52,2274755.137,12844768.46,1409571.442,52985.29782,137686.4068,573743.7198,805595.6602,18067790.69,1029161.82,5636967
501,11/23/2015,73439614.01,6490656.661,23821715.64,4744151.953,153670.9182,472635.2715,2600088.17,4504286.404,28802863.23,2627462.65,9556727.51
501,11/30/2015,70344504.38,6233809.837,21800781.51,4525759.911,61121.33768,254058.0637,987091.2382,3319978.84,25716185.61,2180018.59,8547768.32
501,12/7/2015,58470992.32,2751573.13,21372377.88,2272587.314,48986.64213,93210.76236,980741.4693,1479229.612,23833323.22,1210070.28,9050393
501,12/14/2015,78359048.28,3964380.309,29365777.33,2869190.08,90241.91671,137097.9359,1616322.725,1821262.282,31437363.63,1759762.24,12162616.6
501,12/21/2015,50442433.27,3060152.021,21447289.05,2085520.893,80986.10127,92492.61316,1810480.709,1083379.467,20549353.68,1360335.69,9031588.86
501,12/28/2015,12150200.28,1099199.494,3897614.905,695462.5842,9413.410007,39573.57204,291245.8263,389990.7678,4735790.45,467215.23,1723856.02
502,10/26/2015,363723.9176,32247.98734,86502.88444,16803.49,472.96999,1004.849998,8518.009987,7310.109993,171980.78,17248.2,46504.31
502,11/2/2015,285342.5485,28385.99914,100500.6,19914.87501,178.96,673.74,9032.750003,11064.91666,139577.87,13821.19,53074.42
502,11/9/2015,949681.2212,44092.63331,312195.7754,25724.86669,555.98,583.939999,16864.66,13366.81999,392584.05,20654.77,132990.21
502,11/16/2015,775108.1769,39776.74288,217341.318,28621.42999,186.37,1779.380004,17277.49003,13094.06,322744.32,18385.26,94407.72
502,11/23/2015,1580210.067,170092.3744,451425.6082,116600.7734,3877.364445,8822.820004,32677.88331,76168.10544,612793.27,65002.12,176749.86
502,11/30/2015,1307208.819,119544.1476,380348.8418,102339.5403,1381.38,4408.559999,20219.20001,52106.40725,459986.07,39849.79,147238.02
502,12/7/2015,1100312.169,59269.41849,386562.4867,50227.67669,582.37,1774.789995,27893.70779,24452.75751,444597.21,25947.52,161567.58
502,12/14/2015,1258213.07,75983.28993,490922.5357,55850.71419,1927.03501,2184.764997,32162.80998,26750.55542,512461.49,32988.61,202487.1
502,12/21/2015,771213.936,48012.87001,291990.5475,35164.64997,1253.749996,2521.899994,39132.50997,18300.78501,313086.34,20930.65,125028.82
502,12/28/2015,235507.6529,21464.14333,66589.9525,15535.45998,312.940003,454.769999,3364.700001,4255.420002,92617.47,9479.66,28751.37
503,10/26/2015,234802.4843,42054.50002,60253.18329,28367.41,84.99,1193.580001,7779.790001,13014.1631,116070.51,22540.74,33654.95
503,11/2/2015,196257.6479,41890.03238,66566.65455,35833.75333,1041.639996,1167.039997,10417.69,12302.04842,100701.98,21459.31,38713.06
503,11/9/2015,601047.3026,65754.76299,200766.822,42405.44748,438.5,906.049999,19071.77999,22628.34,260039.49,32037.71,90660.42
503,11/16/2015,501515.8155,73188.86502,156898.0019,50811.65661,646.419997,3392.409993,10913.30999,18580.44664,213319.52,32558.21,69875.58
503,11/23/2015,1212151.616,225531.6829,391912.4617,171032.4594,1974.74,17741.16678,47997.16669,128219.3232,472708.5,87128.9,156754.35
503,11/30/2015,917040.6357,175658.9347,284885.4828,128872.3635,3842.410003,8238.751777,33703.96,68345.9026,324118.4,59911.09,111275.85
503,12/7/2015,684359.7569,81565.30017,268114.5989,66872.30666,2121.72133,1177.380004,31266.29702,34265.29334,287317.66,35875.89,116932.73
503,12/14/2015,900260.8993,116270.92,384425.6396,95034.58498,2502.450006,3664.389998,36050.40835,41728.84666,376037.64,52880.96,168650.3
503,12/21/2015,638000.6347,95424.61582,273659.6335,69266.92999,1736.1,4354.060009,45444.28997,31256.45436,264541.18,42898.22,120269.32
503,12/28/2015,159639.1768,28330.43003,53275.7147,23303.06556,166.499999,1503.0175,8838.920008,9131.500002,64825.87,12137.03,23964.46
504,10/26/2015,10339275.72,1108859.191,2566689.87,674392.4476,12415.88002,26750.63001,167198.7219,261488.2514,4961971.11,575655.97,1358926.62
504,11/2/2015,8266215.408,941024.8414,2669051.258,653686.1964,9531.329998,30380.3222,174861.7019,252244.3234,4138836.03,487889.38,1461855.09
504,11/9/2015,24188336.75,1209583.99,7508044.738,807990.2049,19714.59266,30387.95802,289227.2841,308301.5608,10105531.64,580319.61,3266086.32
504,11/16/2015,22787852.22,1556798.972,6041436.759,919098.6656,16248.34001,68950.38001,257233.406,324572.0344,9590668.11,707057.59,2647740.31
504,11/23/2015,40982365,4324948.297,11184440.81,3003511.653,82242.11373,177845.2327,920026.9759,1528704.241,16175427.93,1760722.43,4521448.92
504,11/30/2015,37911528.39,3790828.058,10342491.9,2742318.949,31625.89002,107812.5517,392021.7391,1222318.759,13796892.74,1324749.62,4054053.11
504,12/7/2015,29921442.75,1794937.63,9868370.601,1529215.204,27715.92632,45316.46983,385141.8607,572707.6551,12238586.78,802250.57,4196665.06
504,12/14/2015,41071181.97,2801244.621,14122424.86,1983406.678,40992.68795,69839.1775,711205.2668,795957.2231,16637515.59,1262930.48,5880360.51
504,12/21/2015,26211180.52,2137951.717,9962814.202,1604757.62,35196.92427,48734.45164,745377.5698,492989.8772,10722134.72,970664.46,4223211.2
504,12/28/2015,6936200.892,772743.4898,1780685.642,460174.9149,8746.479995,21017.92719,105635.175,150173.6991,2656929.96,328509.74,769449.03
505,10/26/2015,7095029.203,945806.7836,1491677.545,534189.6678,5340.730009,24260.99001,110977.3867,169051.3451,3390379.63,493694.56,797573.15
505,11/2/2015,5811139.473,852274.3511,1504600.716,510616.7658,8502.140006,21192.16001,115944.5783,170796.1478,2905561.21,441275.07,828252.34
505,11/9/2015,16810751.67,1035697.126,4583441.153,626338.1404,13766.27525,24010.32634,198666.8791,194501.9081,6989361.68,496231.87,1986035.72
505,11/16/2015,17016778,1276653.826,3993769.583,720311.8481,17811.78997,36957.73613,178267.2155,201844.1852,7107331.19,581330.08,1750363.76
505,11/23/2015,30542127.2,3934827.118,6968761.403,2471200.138,59458.81421,106197.7588,814725.7861,1060936.076,11757956.87,1545423.59,2759564.87
505,11/30/2015,25573008.6,3398815.937,6006582.352,2168892.015,16984.615,77100.30013,261372.7464,723531.2652,9144745.41,1193936.29,2337817.94
505,12/7/2015,21837079.13,1616061.98,6283392.436,1253674.583,17330.60466,36342.84099,272036.1703,364885.8041,8917444.45,718640.95,2658730.55
505,12/14/2015,28101998.71,2300985.396,8436385.502,1481023.433,30831.81692,59163.35634,470477.6215,507686.207,11305240.17,1032295.3,3510268.3
505,12/21/2015,18531272.39,1860763.065,6069182.732,1218956.983,29730.43002,41752.00067,590778.9078,361034.6572,7544109.1,836989.55,2551196.03
505,12/28/2015,4883725.38,659504.6157,1023946.615,350309.8389,7021.079973,17761.64501,77333.05999,111672.2642,1857131.18,278776.95,439119.94
506,10/26/2015,6981464.015,745892.1215,1895389.518,386253.8115,9165.31142,29209.515,167952.93,227723.2223,3439988.47,396030.33,1038511.77
506,11/2/2015,5632680.58,674780.1075,2013173.627,406594.1263,7485.729999,21140.67666,188555.4702,211793.5121,2880745,357532.81,1124901.38
506,11/9/2015,16816587.46,883892.8769,5743085.071,501238.4298,19004.54546,33594.4157,306211.6195,287065.0495,7113665.96,432873.04,2528745.43
506,11/16/2015,15236886.41,1132125.207,4409330.384,560586.2127,17013.1311,39441.48316,236132.8935,277609.6864,6500993.77,531221.37,1970350.67
506,11/23/2015,27338310.44,3281096.152,7890357.982,1945758.765,63431.53886,136868.077,830637.5928,1410076.743,10786482.32,1332135.31,3220086.42
506,11/30/2015,24998914.64,2760385.203,7390542.69,1742248.87,22240.00001,76825.13718,368357.8017,1051694.337,9248255.2,977042.4,2969204.53
506,12/7/2015,20927277.3,1357677.782,7567502.206,964705.2587,20357.65002,29134.15001,419820.3041,543674.8609,8697476.41,615800.86,3272535.11
506,12/14/2015,26476476.33,1763686.476,9816302.75,1051056.921,30343.12001,49500.22382,670442.4525,688558.0654,10881146.34,801370.64,4150376.4
506,12/21/2015,15955173.02,1348354.024,6505856.501,724101.0111,26151.67817,34123.34002,702664.8014,374363.455,6609583.81,608272.92,2794139.55
506,12/28/2015,4311240.323,488424.7121,1139952.438,256845.1854,6501.669992,15657.8,103559.211,120454.9134,1684311.66,209485.82,497591.93
507,10/26/2015,110513.5062,23085.71295,37180.92002,15514.05619,866.959999,330.569998,5756.280009,18630.22747,55094.42,12177.86,20538.45
507,11/2/2015,100531.7885,22145.48796,43346.31,15304.09181,248.35,499.899997,5437.310012,16339.71857,50112.64,11367.62,24385.49
507,11/9/2015,262716.8916,40951.3885,98058.39514,25598.57149,628.099998,1503.676665,12383.46001,26015.12917,111351.69,19503.71,44894
507,11/16/2015,236342.2039,37665.63623,94633.15151,23197.36345,1583.42833,1814.510003,12308.15333,21095.49001,99577.82,17826.89,43200.02
507,11/23/2015,597854.2977,152046.3846,242615.3596,128523.105,6545.398291,14937.14196,43615.47586,159876.8935,236348.97,60506.22,99511.4
507,11/30/2015,464675.2915,115498.5148,176163.5344,93717.66019,1175.920002,6504.793632,20043.22499,95308.465,166590.64,38993.18,67884.69
507,12/7/2015,306813.7638,49247.69168,126348.7353,44121.37335,1560.600013,1813.71333,17801.49599,42718.26924,126546.08,21561.74,55083.41
