week,dmanum,weeknum
12/30/2013,617,1
1/6/2014,617,2
1/13/2014,617,3
1/20/2014,617,4
1/27/2014,617,5
2/3/2014,617,6
2/10/2014,617,7
2/17/2014,617,8
2/24/2014,617,9
3/3/2014,617,10
3/10/2014,617,11
3/17/2014,617,12
3/24/2014,617,13
3/31/2014,617,14
4/7/2014,617,15
4/14/2014,617,16
4/21/2014,617,17
4/28/2014,617,18
5/5/2014,617,19
5/12/2014,617,20
5/19/2014,617,21
5/26/2014,617,22
6/2/2014,617,23
6/9/2014,617,24
6/16/2014,617,25
6/23/2014,617,26
6/30/2014,617,27
7/7/2014,617,28
7/14/2014,617,29
7/21/2014,617,30
7/28/2014,617,31
8/4/2014,617,32
8/11/2014,617,33
8/18/2014,617,34
8/25/2014,617,35
9/1/2014,617,36
9/8/2014,617,37
9/15/2014,617,38
9/22/2014,617,39
9/29/2014,617,40
10/6/2014,617,41
10/13/2014,617,42
10/20/2014,617,43
10/27/2014,617,44
12/30/2013,622,1
1/6/2014,622,2
1/13/2014,622,3
1/20/2014,622,4
1/27/2014,622,5
2/3/2014,622,6
2/10/2014,622,7
2/17/2014,622,8
2/24/2014,622,9
3/3/2014,622,10
3/10/2014,622,11
3/17/2014,622,12
3/24/2014,622,13
3/31/2014,622,14
4/7/2014,622,15
4/14/2014,622,16
4/21/2014,622,17
4/28/2014,622,18
5/5/2014,622,19
5/12/2014,622,20
5/19/2014,622,21
5/26/2014,622,22
6/2/2014,622,23
6/9/2014,622,24
6/16/2014,622,25
6/23/2014,622,26
6/30/2014,622,27
7/7/2014,622,28
7/14/2014,622,29
7/21/2014,622,30
7/28/2014,622,31
8/4/2014,622,32
8/11/2014,622,33
8/18/2014,622,34
8/25/2014,622,35
9/1/2014,622,36
9/8/2014,622,37
9/15/2014,622,38
9/22/2014,622,39
9/29/2014,622,40
10/6/2014,622,41
10/13/2014,622,42
10/20/2014,622,43
10/27/2014,622,44
12/30/2013,627,1
1/6/2014,627,2
1/13/2014,627,3
1/20/2014,627,4
1/27/2014,627,5
2/3/2014,627,6
2/10/2014,627,7
2/17/2014,627,8
2/24/2014,627,9
3/3/2014,627,10
3/10/2014,627,11
3/17/2014,627,12
3/24/2014,627,13
3/31/2014,627,14
4/7/2014,627,15
4/14/2014,627,16
4/21/2014,627,17
4/28/2014,627,18
5/5/2014,627,19
5/12/2014,627,20
5/19/2014,627,21
5/26/2014,627,22
6/2/2014,627,23
6/9/2014,627,24
6/16/2014,627,25
6/23/2014,627,26
6/30/2014,627,27
7/7/2014,627,28
7/14/2014,627,29
7/21/2014,627,30
7/28/2014,627,31
8/4/2014,627,32
8/11/2014,627,33
8/18/2014,627,34
8/25/2014,627,35
9/1/2014,627,36
9/8/2014,627,37
9/15/2014,627,38
9/22/2014,627,39
9/29/2014,627,40
10/6/2014,627,41
10/13/2014,627,42
10/20/2014,627,43
10/27/2014,627,44
12/30/2013,613,1
1/6/2014,613,2
1/13/2014,613,3
1/20/2014,613,4
1/27/2014,613,5
2/3/2014,613,6
2/10/2014,613,7
2/17/2014,613,8
2/24/2014,613,9
3/3/2014,613,10
3/10/2014,613,11
3/17/2014,613,12
3/24/2014,613,13
3/31/2014,613,14
4/7/2014,613,15
4/14/2014,613,16
4/21/2014,613,17
4/28/2014,613,18
5/5/2014,613,19
5/12/2014,613,20
5/19/2014,613,21
5/26/2014,613,22
6/2/2014,613,23
6/9/2014,613,24
6/16/2014,613,25
6/23/2014,613,26
6/30/2014,613,27
7/7/2014,613,28
7/14/2014,613,29
7/21/2014,613,30
7/28/2014,613,31
8/4/2014,613,32
8/11/2014,613,33
8/18/2014,613,34
8/25/2014,613,35
9/1/2014,613,36
9/8/2014,613,37
9/15/2014,613,38
9/22/2014,613,39
9/29/2014,613,40
10/6/2014,613,41
10/13/2014,613,42
10/20/2014,613,43
10/27/2014,613,44
